CCE_ACCOUNTING_POLICY
CCE_AD_SCHEDULE_INFO
CCE_ADVERTISEMENT
CCE_BROWSER_TYPE
CCE_BROWSER_TYPE_CFG_INFO
CCE_BROWSER_TYPE_SS_INFO
CCE_CAMPAIGN
CCE_CAMPAIGN_PROMO_ASSOC
CCE_CHMAP_ITEMCAT_ASSOC
CCE_CHMAP_SA_ASSOC
CCE_CHMAP_SUBCLASS_ASSOC
CCE_CONTENT_TYPE_MIME_INFO
CCE_COUPON
CCE_CREDIT_CLASS
CCE_DEVICE
CCE_DEVICE_CAP_ASSOC
CCE_DEVICE_CAP_FLD_ASSOC
CCE_DEVICE_CAPABILITY
CCE_DEVICE_REF_COMP_DATA
CCE_DEVICE_VENDOR_ASSOC
CCE_DISCOUNT_POLICY
CCE_FIPS_UPD_NOTIFY
CCE_GEO_AREA
CCE_INSTANCE_NETYPE_ASSOC
CCE_INSTANCE_NE_ASSOC
CCE_ITEM_CMA_ASSOC
CCE_ITEM_FILE
CCE_ITEM_INFO
CCE_ITEM_INSTRUMENT_TYPE
CCE_ITEM_INSTRU_ASSOC
CCE_ITEM_PREREQ_INFO
CCE_MEDIA_CAP_INSTANCE_ASSOC
CCE_MEDIA_CAP_REQUEST_MAPPING
CCE_MESSAGE_INFO
CCE_NE_TYPE_SVC_ASSOC
CCE_OBJ_AD_ASSOC
CCE_ORACLE_CONFIG
CCE_PAYMENT_METHODS
CCE_PPP
CCE_PPP_LICENSE_INFO
CCE_PPP_LOG
CCE_PPP_NE_ASSOC
CCE_PPP_SA_ASSOC
CCE_PPP_SA_LOG
CCE_PPP_SUBCLASS_ASSOC
CCE_PPP_SUBCLASS_LOG
CCE_PPP_SVC_ASSOC
CCE_PPP_SVC_LOG
CCE_PPP_XML_QUEUE
CCE_PRODUCT
CCE_PRODUCT_CAPABILITY_ASSOC
CCE_PROMOTION
CCE_PROMOTION_TEMP
CCE_PROMO_COUPON_ASSOC
CCE_PROMO_PROMO_ASSOC
CCE_PROMO_SA_CRITERIA
CCE_PROMO_SCHEDULE_INFO
CCE_PROMO_SERVICE_CRITERIA
CCE_PROMO_SPONSOR_ASSOC
CCE_PROMO_SUBCLASS_CRITERIA
CCE_PROMO_TARGET_CRITERIA_COND
CCE_PROMO_TARGET_CRITERIA_LIST
CCE_PUBLISH_EVENT_LOG
CCE_RATING_TYPE
CCE_RATING_TYPE_VALUES
CCE_SA_APPROVAL_HIST
CCE_SA_DMA_BOUNDARY
CCE_SA_ZIP_ASSOC
CCE_SA_ZIP_LOG
CCE_SERVICE_AREA_GEO_ASSOC
CCE_SERVICE_AREA_LOG
CCE_SERVICE_DOMAIN
CCE_SNMP_MANAGER_ACL
CCE_SNMP_MANAGER_INFO
CCE_STATE
CCE_STATE_ZIP_ASSOC
CCE_SUBCLASS_ASSGN_CRITERIA
CCE_SUBCLASS_FLD_CRITERIA
CCE_SUBCLASS_PPP_CRITERIA
CCE_SUBCLASS_SA_CRITERIA
CCE_SUBSCRIBER_CLASS
CCE_SVC_DEVICE_ASSOC
CCE_SVC_SUBCLASS_ASSOC
CCE_TASK
CCE_TASK_TYPE
CCE_TASK_TYPE_INFO
CCE_TEMP_ACCOUNTING_POLICY
CCE_TEMP_ADVERTISEMENT
CCE_TEMP_CUSTPARENT
CCE_TEMP_DEVICE
